scenario,variant,n,penalty,weight,strategy,ndcg
running,delay,3,1,var2,Subtree,1.000000
running,delay,3,1,var2,SubtreeWithUncertainty,1.000000
running,delay,3,1,var2,SubtreeWithUncertaintyPropagation,1.000000
running,delay,3,1,var2,SubtreeWithPenalty,1.000000
running,delay,3,1,var2,SubtreeWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,1,var2,ResponseTimeAnalysis,0.867320
running,delay,3,1,var2,ResponseTimeAnalysisWithPenalty,0.867320
running,delay,3,1,var2,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.921787
running,delay,3,1,var2,HybridWithUncertainty,1.000000
running,delay,3,1,var2,HybridWithUncertaintyPropagation,1.000000
running,delay,3,1,var2,HybridWithUncertaintyAndPenalty,1.000000
running,delay,3,1,var2,HybridWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,1,var3,Subtree,1.000000
running,delay,3,1,var3,SubtreeWithUncertainty,0.941340
running,delay,3,1,var3,SubtreeWithUncertaintyPropagation,0.941340
running,delay,3,1,var3,SubtreeWithPenalty,1.000000
running,delay,3,1,var3,SubtreeWithUncertaintyPropagationAndPenalty,0.970670
running,delay,3,1,var3,ResponseTimeAnalysis,0.867320
running,delay,3,1,var3,ResponseTimeAnalysisWithPenalty,0.867320
running,delay,3,1,var3,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.916667
running,delay,3,1,var3,HybridWithUncertainty,1.000000
running,delay,3,1,var3,HybridWithUncertaintyPropagation,1.000000
running,delay,3,1,var3,HybridWithUncertaintyAndPenalty,1.000000
running,delay,3,1,var3,HybridWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,3,var2,Subtree,1.000000
running,delay,3,3,var2,SubtreeWithUncertainty,1.000000
running,delay,3,3,var2,SubtreeWithUncertaintyPropagation,1.000000
running,delay,3,3,var2,SubtreeWithPenalty,1.000000
running,delay,3,3,var2,SubtreeWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,3,var2,ResponseTimeAnalysis,0.867320
running,delay,3,3,var2,ResponseTimeAnalysisWithPenalty,0.867320
running,delay,3,3,var2,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.912010
running,delay,3,3,var2,HybridWithUncertainty,1.000000
running,delay,3,3,var2,HybridWithUncertaintyPropagation,1.000000
running,delay,3,3,var2,HybridWithUncertaintyAndPenalty,0.941340
running,delay,3,3,var2,HybridWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,3,var3,Subtree,1.000000
running,delay,3,3,var3,SubtreeWithUncertainty,0.941340
running,delay,3,3,var3,SubtreeWithUncertaintyPropagation,0.941340
running,delay,3,3,var3,SubtreeWithPenalty,1.000000
running,delay,3,3,var3,SubtreeWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,3,var3,ResponseTimeAnalysis,0.867320
running,delay,3,3,var3,ResponseTimeAnalysisWithPenalty,0.867320
running,delay,3,3,var3,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.960893
running,delay,3,3,var3,HybridWithUncertainty,1.000000
running,delay,3,3,var3,HybridWithUncertaintyPropagation,1.000000
running,delay,3,3,var3,HybridWithUncertaintyAndPenalty,1.000000
running,delay,3,3,var3,HybridWithUncertaintyPropagationAndPenalty,1.000000
running,delay,5,9,var2,Subtree,0.925519
running,delay,5,9,var2,SubtreeWithUncertainty,0.925519
running,delay,5,9,var2,SubtreeWithUncertaintyPropagation,0.925519
running,delay,5,9,var2,SubtreeWithPenalty,0.925519
running,delay,5,9,var2,SubtreeWithUncertaintyPropagationAndPenalty,0.925519
running,delay,5,9,var2,ResponseTimeAnalysis,0.870533
running,delay,5,9,var2,ResponseTimeAnalysisWithPenalty,0.870533
running,delay,5,9,var2,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.900304
running,delay,5,9,var2,HybridWithUncertainty,0.925519
